Code	Region	Country	variable	value	region
702	South and South-East Asia	Singapore	1873	0.415025	South and South-East Asia
288	Sub-Saharan Africa	Ghana	1873	0.0354039	Sub-Saharan Africa
694	Sub-Saharan Africa	Sierra Leone	1873	0.483129	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1873	0.918334	Sub-Saharan Africa
40	Western Europe	Austria	1874	3.46702	Western Europe
56	Western Europe	Belgium	1874	4.32303	Western Europe
250	Western Europe	France	1874	4.39844	Western Europe
528	Western Europe	Netherlands	1874	5.44284	Western Europe
756	Western Europe	Switzerland	1874	7.47431	Western Europe
372	Western Europe	Ireland	1874	2.1175	Western Europe
578	Western Europe	Norway	1874	5.49796	Western Europe
752	Western Europe	Sweden	1874	5.56392	Western Europe
826	Western Europe	United Kingdom	1874	1.42998	Western Europe
380	Western Europe	Italy	1874	1.76777	Western Europe
620	Western Europe	Portugal	1874	0.489866	Western Europe
724	Western Europe	Spain	1874	3.65555	Western Europe
388	Latin America and Caribbean	Jamaica	1874	1.38035	Latin America and Caribean
780	Latin America and Caribbean	Trinidad and Tobago	1874	1.70808	Latin America and Caribean
328	Latin America and Caribbean	Guyana	1874	0.64592	#N/A
36	Western Offshoots	Australia	1874	2.44725	Western Offshoots
586	South and South-East Asia	Pakistan	1874	0.442263	South and South-East Asia
144	South and South-East Asia	Sri Lanka	1874	0.294871	South and South-East Asia
458	South and South-East Asia	Malaysia	1874	0.223279	South and South-East Asia
104	South and South-East Asia	Myanmar	1874	0.0136835	South and South-East Asia
702	South and South-East Asia	Singapore	1874	0.427445	South and South-East Asia
288	Sub-Saharan Africa	Ghana	1874	0.0351921	Sub-Saharan Africa
694	Sub-Saharan Africa	Sierra Leone	1874	0.500676	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1874	0.953724	Sub-Saharan Africa
40	Western Europe	Austria	1875	3.49663	Western Europe
56	Western Europe	Belgium	1875	4.29765	Western Europe
250	Western Europe	France	1875	4.43587	Western Europe
528	Western Europe	Netherlands	1875	5.46941	Western Europe
756	Western Europe	Switzerland	1875	7.49477	Western Europe
372	Western Europe	Ireland	1875	2.10829	Western Europe
578	Western Europe	Norway	1875	5.49486	Western Europe
752	Western Europe	Sweden	1875	5.63595	Western Europe
826	Western Europe	United Kingdom	1875	1.46147	Western Europe
380	Western Europe	Italy	1875	1.77729	Western Europe
620	Western Europe	Portugal	1875	0.504746	Western Europe
724	Western Europe	Spain	1875	3.68369	Western Europe
348	Eastern Europe	Hungary	1875	2.89022	Eastern Europe
52	Latin America and Caribbean	Barbados	1875	4.07549	#N/A
388	Latin America and Caribbean	Jamaica	1875	1.52414	Latin America and Caribean
780	Latin America and Caribbean	Trinidad and Tobago	1875	1.67066	Latin America and Caribean
340	Latin America and Caribbean	Honduras	1875	0.710449	Latin America and Caribean
328	Latin America and Caribbean	Guyana	1875	0.667902	#N/A
36	Western Offshoots	Australia	1875	2.63637	Western Offshoots
586	South and South-East Asia	Pakistan	1875	0.465931	South and South-East Asia
144	South and South-East Asia	Sri Lanka	1875	0.305293	South and South-East Asia
458	South and South-East Asia	Malaysia	1875	0.223946	South and South-East Asia
104	South and South-East Asia	Myanmar	1875	0.0142193	South and South-East Asia
702	South and South-East Asia	Singapore	1875	0.429562	South and South-East Asia
288	Sub-Saharan Africa	Ghana	1875	0.0363531	Sub-Saharan Africa
694	Sub-Saharan Africa	Sierra Leone	1875	0.522853	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1875	0.954828	Sub-Saharan Africa
40	Western Europe	Austria	1876	3.50821	Western Europe
56	Western Europe	Belgium	1876	4.3371	Western Europe
